=== cslen: 8 threads, 1 lock ===
--- baseline ---
threads	iters	cs_ns	wall_ns	total_ops	ops_per_sec
8	100000	0	64586655	800000	12386460
8	100000	10	69377204	800000	11531165
8	100000	20	76327071	800000	10481209
8	100000	30	107570814	800000	7436961
8	100000	50	190599437	800000	4197284
8	100000	75	209610602	800000	3816601
8	100000	100	260157187	800000	3075064
8	100000	150	306681695	800000	2608568
8	100000	200	397530911	800000	2012422
8	100000	300	493345575	800000	1621581
8	100000	500	612235078	800000	1306688
8	100000	750	811537280	800000	985783
8	100000	1000	1088055912	800000	735256
8	100000	10000	9465997671	800000	84513
8	100000	100000	75458493345	800000	10602

--- lockdep global ---
threads	iters	cs_ns	wall_ns	total_ops	ops_per_sec
8	100000	0	118475727	800000	6752438
8	100000	10	124562058	800000	6422501
8	100000	20	140046019	800000	5712408
8	100000	30	159137029	800000	5027114
8	100000	50	194384513	800000	4115554
8	100000	75	241412415	800000	3313831
8	100000	100	276802220	800000	2890150
8	100000	150	323382510	800000	2473851
8	100000	200	372230534	800000	2149206
8	100000	300	286664057	800000	2790723
8	100000	500	670692296	800000	1192797
8	100000	750	776705577	800000	1029991
8	100000	1000	1166729465	800000	685677
8	100000	10000	7758638699	800000	103111
8	100000	100000	79392087575	800000	10077

--- lockdep rb ---
threads	iters	cs_ns	wall_ns	total_ops	ops_per_sec
8	100000	0	120385509	800000	6645318
8	100000	10	129161304	800000	6193806
8	100000	20	138055973	800000	5794751
8	100000	30	159557440	800000	5013868
8	100000	50	204123447	800000	3919197
8	100000	75	240440645	800000	3327224
8	100000	100	269955338	800000	2963453
8	100000	150	351281573	800000	2277375
8	100000	200	369849019	800000	2163045
8	100000	300	416742535	800000	1919650
8	100000	500	664287827	800000	1204297
8	100000	750	927449959	800000	862580
8	100000	1000	1153886068	800000	693309
8	100000	10000	8506623917	800000	94044
8	100000	100000	73624677647	800000	10866
