=== latency: 1 lock, sweep threads ===
--- baseline ---
threads	iters	avg_lock_ns	avg_unlock_ns	avg_pair_ns
1	100000	18.8	18.2	37.0
2	100000	120.3	109.0	229.3
4	100000	304.7	187.2	492.0
8	100000	681.0	464.5	1145.5
16	100000	1282.2	1097.6	2379.8
32	100000	3158.0	1770.4	4928.4
64	100000	8084.3	1628.6	9712.9

--- lockdep global ---
threads	iters	avg_lock_ns	avg_unlock_ns	avg_pair_ns
1	100000	25.9	30.2	56.1
2	100000	131.9	151.4	283.3
4	100000	344.0	251.5	595.5
8	100000	862.1	588.4	1450.6
16	100000	1818.1	1398.2	3216.3
32	100000	4237.3	2257.4	6494.7
64	100000	10744.8	2126.1	12870.9

--- lockdep rb ---
threads	iters	avg_lock_ns	avg_unlock_ns	avg_pair_ns
1	100000	25.9	31.9	57.8
2	100000	124.6	148.9	273.5
4	100000	352.9	258.3	611.2
8	100000	898.3	602.6	1501.0
16	100000	1798.3	1439.9	3238.2
32	100000	4306.9	2294.8	6601.7
64	100000	11036.7	2170.5	13207.1
