=== pedges: disjoint locks, 3 runs per cell ===
--- baseline ---
threads	locks_per_thread	iters	wall_ns	total_ops	ops_per_sec
1	64	100000	76739836	6400000	83398667
1	64	100000	73631335	6400000	86919516
1	64	100000	74238300	6400000	86208871
4	64	100000	78475210	25600000	326217668
4	64	100000	79135786	25600000	323494607
4	64	100000	78708346	25600000	325251403
8	32	100000	51380476	25600000	498243730
8	32	100000	45543641	25600000	562098230
8	32	100000	45662089	25600000	560640141
16	16	100000	43672180	25600000	586185530
16	16	100000	47064883	25600000	543929962
16	16	100000	44798559	25600000	571446952
32	8	100000	54493092	25600000	469784317
32	8	100000	50740998	25600000	504522989
32	8	100000	54743197	25600000	467638015
64	4	100000	53682904	25600000	476874351
64	4	100000	62299387	25600000	410918971
64	4	100000	48982977	25600000	522630546

--- lockdep global ---
threads	locks_per_thread	iters	wall_ns	total_ops	ops_per_sec
1	64	100000	375510548	6400000	17043463
1	64	100000	376998802	6400000	16976181
1	64	100000	375593130	6400000	17039715
4	64	100000	468129494	25600000	54685723
4	64	100000	506148728	25600000	50578019
4	64	100000	512991152	25600000	49903395
8	32	100000	270821492	25600000	94527210
8	32	100000	261083986	25600000	98052739
8	32	100000	249311740	25600000	102682690
16	16	100000	168731108	25600000	151720689
16	16	100000	183083572	25600000	139826855
16	16	100000	181740612	25600000	140860096
32	8	100000	165060396	25600000	155094745
32	8	100000	171444536	25600000	149319428
32	8	100000	166077350	25600000	154145041
64	4	100000	143175867	25600000	178801082
64	4	100000	144970769	25600000	176587323
64	4	100000	132729236	25600000	192873859

--- lockdep rb ---
threads	locks_per_thread	iters	wall_ns	total_ops	ops_per_sec
1	64	100000	242341113	6400000	26409056
1	64	100000	240767808	6400000	26581627
1	64	100000	243311355	6400000	26303746
4	64	100000	385375171	25600000	66428774
4	64	100000	270740414	25600000	94555518
4	64	100000	346150010	25600000	73956375
8	32	100000	214501682	25600000	119346383
8	32	100000	212015786	25600000	120745726
8	32	100000	192002690	25600000	133331465
16	16	100000	163801798	25600000	156286441
16	16	100000	156980591	25600000	163077485
16	16	100000	155371259	25600000	164766638
32	8	100000	153265499	25600000	167030416
32	8	100000	147997960	25600000	172975357
32	8	100000	162428297	25600000	157608006
64	4	100000	155338162	25600000	164801744
64	4	100000	157811379	25600000	162218974
64	4	100000	149450891	25600000	171293726
